HIP;RA_J2000;DE_J2000
14069;3.021473;14.982244
16120;3.461073;8.765202
16659;3.572280;23.150105
16925;3.630527;4.145467
17353;3.714351;4.122415
17502;3.748009;9.307380
21465;4.609642;19.760034
24247;5.205137;9.124198
27257;5.777891;10.931768
14579;3.136889;13.170113
19548;4.186250;15.626237
21551;4.627470;23.782363
23645;5.081924;23.568494
15808;3.394320;18.555759
20530;4.399031;14.412888
21318;4.576494;21.105712
22829;4.912487;24.096326
27433;5.809216;7.885378
13571;2.913844;20.373067
14274;3.066962;9.665319
15951;3.423161;15.826375
17466;3.742876;17.747344
27664;5.857522;10.252463
20958;4.494150;5.164268
24619;5.280379;20.118297
25577;5.466416;12.911681
16606;3.562446;6.926006
22635;4.869789;4.692510
23178;4.985934;19.745998
24870;5.331679;13.223273
28556;6.027702;16.934136
17312;3.705731;7.552168
17680;3.787798;6.119208
24487;5.254179;23.830504
24994;5.352640;24.221706
14514;3.123798;17.879995
19401;4.156239;17.162141
26214;5.586948;18.571039
15471;3.324637;12.615440
22273;4.795345;15.191165
16822;3.607592;12.007195
20841;4.466411;12.067762
24063;5.170260;22.136667
26777;5.688255;16.534148
24143;5.185013;12.379334
24872;5.332958;16.730837
28090;5.937834;18.074210
16346;3.510722;3.916507
22853;4.916745;14.593773
17234;3.690652;19.388583
18995;4.069724;23.407527
22823;4.911447;12.025773
19189;4.112436;5.686827
23683;5.090655;7.950024
24285;5.211974;21.830059
25777;5.504184;20.551593
19850;4.255216;8.429256
22258;4.791983;10.169381
27729;5.871377;7.329386
15908;3.414354;22.278198
24835;5.323935;20.218386
25041;5.362100;8.428556
25866;5.522241;7.128608
28801;6.080431;16.338549
13547;2.907644;23.847184
18283;3.910176;17.343714
20128;4.315803;7.271016
20680;4.429869;21.138171
26639;5.662272;7.315847
20502;4.393661;8.058209
15395;3.307773;6.227622
17726;3.795669;14.360152
18474;3.948090;15.536999
28384;5.996035;6.769648
15532;3.335208;12.718566
23642;5.081595;17.782754
24170;5.189769;14.698323
25825;5.514361;6.778481
13690;2.938670;9.300987
20389;4.366348;15.784935
20533;4.399934;24.300992
15509;3.331174;20.277166
15838;3.400252;19.907062
21987;4.726370;8.274407
28673;6.054222;12.617690
16796;3.603254;8.886457
19348;4.145024;10.099355
14183;3.048212;17.565564
15129;3.251802;16.255277
20646;4.424407;18.884294
25123;5.377699;9.229292
25657;5.480584;16.426636
15515;3.332227;8.699773
19460;4.167338;10.846234
28374;5.994338;21.604223
15593;3.347083;6.433231
19075;4.088840;22.057633
26132;5.572173;4.825080
28289;5.977786;16.597721
