"","HIP","RA_J2000","DE_J2000","Plx","pmRA","pmDE","Vmag","BV","hyades","clusterNum"
"2415",20889,4.47694,19.1804,21.04,107.23,-36.77,3.53,1.014,1,2
"2416",21261,4.56165,19.014,21.06,102.3,-34.96,10.74,1.197,0,2
"2417",20711,4.43846,22.8136,21.07,108.66,-45.83,4.28,0.263,0,2
"2418",19796,4.24287,10.7014,21.08,119.81,-5.22,7.11,0.514,1,2
"2419",20485,4.39036,15.7631,21.08,126.22,-30.5,10.47,1.231,0,2
"2420",20899,4.48008,17.2855,21.09,105.58,-30.05,7.83,0.609,1,2
"2421",21946,4.71706,18.7116,21.1,100.3,-93,9.92,1.122,0,2
"2422",20255,4.34031,18.7426,21.12,119.59,-48.17,6.11,0.404,0,2
"2423",20205,4.32989,15.6276,21.17,115.29,-23.86,3.65,0.981,1,2
"2424",20484,4.3903,16.7773,21.17,105.09,-27.62,5.64,0.31,0,2
"2425",20826,4.4628,11.7364,21.18,110.28,-12.11,7.49,0.56,0,2
"2426",20261,4.34342,15.0955,21.2,108.79,-20.67,5.26,0.225,0,2
"2427",20492,4.39231,14.6705,21.23,107.57,-18.24,9.11,0.855,1,2
"2428",20146,4.31889,17.5247,21.24,112.8,-29.89,8.47,0.721,0,2
"2430",19261,4.12833,15.1628,21.27,127.06,-22.75,6.02,0.397,1,2
"2431",20635,4.42282,22.2939,21.27,105.49,-44.14,4.21,0.136,0,2
"2432",20455,4.38225,17.5425,21.29,107.75,-28.84,3.77,0.983,1,2
"2433",20850,4.4679,13.8679,21.29,106.16,-17.59,9.02,0.839,0,2
"2435",21308,4.57506,10.0164,21.36,118.55,-68.94,7.72,0.615,0,2
"2437",17962,3.84027,17.2465,21.37,130.19,-23.3,9.46,0.782,0,2
"2438",22380,4.81765,18.6412,21.38,82.39,-40.86,8.98,0.833,0,2
"2439",21273,4.56414,14.8444,21.39,103.69,-25.94,4.65,0.255,0,2
"2441",20019,4.29415,16.9479,21.4,113.07,-21.39,8.32,0.756,0,2
"2443",19148,4.10448,15.6981,21.41,118.53,-19.59,7.85,0.593,0,2
"2444",20741,4.44448,16.7469,21.42,110.29,-27.82,8.1,0.664,1,2
"2445",20440,4.37894,15.0561,21.45,111.98,-19.88,6.97,0.518,0,2
"2446",20661,4.42703,15.941,21.47,104.62,-28.83,6.44,0.509,1,2
"2447",21983,4.72548,11.1667,21.48,97.8,24.92,10.29,1.16,0,2
"2451",20712,4.43847,21.4704,21.54,105.82,-36.48,7.36,0.557,1,2
"2453",20948,4.49176,17.8632,21.59,105.72,-32.56,6.9,0.451,1,2
"2454",16329,3.50845,20.1033,21.61,155.02,-63.38,8.29,0.739,0,2
"2455",15310,3.29244,7.69015,21.64,170.41,-7.48,7.78,0.617,1,2
"2458",19793,4.24231,23.5749,21.69,121.09,-48.34,8.05,0.657,0,2
"2460",20719,4.44017,16.8533,21.76,103.64,-17.58,8.04,0.651,0,2
"2461",21589,4.63596,12.5108,21.79,101.73,-14.9,4.27,0.122,0,2
"2462",20284,4.34798,13.8644,21.8,105.29,-17.97,6.15,0.456,0,2
"2463",21099,4.52103,20.1332,21.81,102.78,-41.08,8.59,0.734,0,2
"2464",20762,4.44843,13.1382,21.83,104.54,-18.1,10.48,1.146,0,2
"2465",20815,4.45997,15.5892,21.83,103.54,-25.16,7.41,0.537,1,2
"2466",20056,4.30051,18.2568,21.84,115.65,-31.23,7.53,0.681,0,2
"2467",21036,4.51038,13.7244,21.84,108.06,-19.71,5.4,0.263,0,2
"2468",20400,4.36764,14.0772,21.87,114.04,-21.4,5.72,0.315,0,2
"2469",20894,4.47771,15.8709,21.89,108.66,-26.39,3.4,0.179,0,2
"2470",19781,4.24046,14.625,21.91,105.61,-19.86,8.45,0.693,1,2
"2471",21588,4.63596,16.0333,21.96,113.05,-40.4,5.78,0.312,0,2
"2472",18735,4.01355,18.194,21.99,129.49,-28.27,5.89,0.319,0,2
"2473",20693,4.43259,5.15015,22.03,96.32,4.55,7.36,0.509,1,2
"2474",20648,4.42483,17.9279,22.05,108.26,-32.47,4.3,0.049,0,2
"2475",19786,4.2409,12.4353,22.19,117.48,-9.35,8.05,0.64,0,2
"2478",20553,4.40346,14.7582,22.25,97.38,-33.51,7.58,0.604,0,2
"2479",21137,4.53104,15.8516,22.25,107.59,-32.38,6.01,0.338,0,2
"2480",20237,4.33694,19.2335,22.27,115.67,-34.02,7.46,0.56,0,2
"2481",18471,3.9478,22.478,22.31,69.43,-114.82,5.62,0.345,0,2
"2482",20219,4.3327,14.0352,22.31,115.42,-19.91,5.58,0.283,0,2
"2483",20542,4.4016,17.4441,22.36,109.99,-33.47,4.8,0.154,0,2
"2484",22177,4.77189,3.63634,22.45,92.59,12.96,10.92,1.277,0,2
"2485",13679,2.93716,8.38156,22.46,69.83,-88.32,5.97,0.478,0,2
"2486",19877,4.26286,15.4007,22.51,114.38,-22.07,6.31,0.4,0,2
"2487",21029,4.50934,16.194,22.54,104.98,-25.14,4.78,0.17,0,2
"2488",21039,4.5108,15.6919,22.55,104.17,-24.29,5.47,0.258,0,2
