HIP,RA_J2000,DE_J2000,Plx,pmRA,pmDE,Vmag,BV,hyades
16737,3.58844,18.9031,2.26,5.9,-41.23,7.57,1.73,0
23574,5.06817,17.1249,2.26,98.52,-51.59,8.78,1.028,0
24841,5.32546,6.37599,2.26,-0.24,-15.27,10.61,1.034,0
27146,5.75476,13.7085,2.28,3.07,-2.6,8.78,0.145,0
28513,6.01879,23.3049,2.28,2.29,-1.79,7.37,0.575,0
22872,4.91982,20.3138,2.3,7.65,-18.91,8.5,0.34,0
23479,5.04649,6.19184,2.3,0.02,-6.56,9.1,1.363,0
19403,4.15628,18.9067,2.31,21.65,-18.34,8.63,1.245,0
20774,4.45044,19.8433,2.31,6.45,-10.97,7.46,0.317,0
21015,4.50636,8.93184,2.31,6.3,7.94,9.11,1.641,0
22441,4.82891,15.9042,2.31,3.9,-6.92,6.09,1.551,0
27965,5.91575,19.7496,2.32,0.39,-4.14,5.92,-0.145,0
21677,4.65376,22.6523,2.33,0.47,-1.83,8.54,0.306,0
19216,4.11902,21.2629,2.34,30.68,-7.08,8.76,1.21,0
21633,4.64617,6.82035,2.34,8.36,8.41,7.95,1.758,0
26341,5.6093,12.1007,2.34,0.09,-6.5,7.68,0.944,0
19328,4.14224,8.44486,2.35,-13.87,-12.72,9.36,0.662,0
19977,4.28418,6.34741,2.35,-7.94,-20.83,8.86,0.404,0
26212,5.58689,9.61326,2.35,-0.36,-2.52,6.72,-0.133,0
26449,5.62728,23.1475,2.35,-0.74,-5.06,9.05,0.127,0
22356,4.81251,20.3596,2.36,-3.7,-2.09,10.13,0.25,0
26138,5.57349,3.56138,2.36,2.75,-7.1,8.71,0.101,0
27343,5.79149,22.9225,2.36,-3.32,-3.27,7.55,1.137,0
14861,3.19888,10.9645,2.37,2.82,-14.19,8.87,1.176,0
19313,4.13979,8.33034,2.37,-7.52,-10.51,9.99,0.495,0
28314,5.98271,14.352,2.37,-2.23,-8.39,8.55,1.302,0
24446,5.24426,15.2082,2.38,7.07,-21.3,9.12,1.558,0
26839,5.69921,24.3185,2.38,1.57,-2.37,7.75,0.111,0
27747,5.87317,19.8678,2.38,-5.57,-3.14,5.96,0.549,0
23191,4.99046,20.1941,2.39,30.38,-7.08,8.3,1.1,0
25470,5.44675,13.5822,2.4,3.7,-5.31,7.53,-0.028,0
25893,5.52755,18.2441,2.4,2.9,-38.61,6.77,1.592,0
20391,4.3665,22.2563,2.41,8.94,-1.38,9.39,1.717,0
25823,5.51428,7.09112,2.41,4.1,-13.13,9.98,0.385,0
28192,5.95794,3.53788,2.41,-0.58,-0.35,8.7,1.465,0
23426,5.03486,21.3208,2.42,23.43,-16.45,8.4,1.304,0
25972,5.54243,9.66968,2.42,1.51,-2.35,8.43,-0.001,0
16178,3.47345,5.98587,2.43,5.6,-3.98,9.68,0.569,0
24584,5.27443,7.29391,2.43,-4.36,-3.31,12.17,1.293,0
25917,5.53128,11.2042,2.43,3.34,-12.13,8.52,1.3,0
28196,5.95838,6.39118,2.43,5.3,0.48,8.28,0.034,0
18564,3.97423,11.9058,2.44,4.57,-13.15,10.26,1.58,0
23371,5.02493,23.1042,2.44,-9,-8.49,8.64,1.27,0
14847,3.19566,23.9871,2.45,-0.45,-11.02,8.85,0.47,0
16841,3.61247,13.2918,2.45,5.97,-9.93,8.45,0.393,0
20216,4.33191,10.619,2.45,5.85,-16.24,9.27,0.596,0
20956,4.49323,3.83855,2.45,47.66,-40.57,10.2,0.758,0
28540,6.0251,4.91287,2.45,-8.52,-6.17,9.06,0.078,0
28784,6.07733,8.22124,2.45,1.42,-15.03,7.76,1.071,0
26916,5.71379,19.8475,2.46,-1.54,-13.64,9.48,0.579,0
27388,5.80039,22.5108,2.46,-4.07,-10.31,9.67,1.011,0
17128,3.66866,4.63034,2.47,132.5,2.18,10.04,0.643,0
19785,4.24067,23.6964,2.48,-1.75,-12.96,6.77,1.133,0
26294,5.59951,9.53172,2.48,2.57,0.09,8.65,-0.037,0
20600,4.41193,18.9131,2.49,13.28,-16.84,7.35,0.364,0
14451,3.10908,24.2214,2.5,-5.47,-0.61,8.68,1.058,0
16778,3.59875,9.56593,2.5,-6.97,-49.13,11.4,1.106,0
13650,2.92922,7.28107,2.51,6.97,5.07,9.1,0.424,0
16414,3.52253,17.9382,2.51,-14.19,-0.05,6.79,1.545,0
16845,3.61307,4.47436,2.51,19.73,-4.53,8.75,0.402,0
27157,5.75707,6.29788,2.51,14.27,1.68,7.18,0.092,0
27203,5.76629,23.7474,2.51,6.85,-21.1,7.94,0.112,0
28750,6.07138,6.49111,2.51,6.7,-15.45,8.2,0.089,0
27697,5.86447,19.5214,2.52,-1.15,-7.13,7.31,-0.017,0
14897,3.20422,14.0395,2.53,23.44,-1.55,8.78,1.671,0
21768,4.67573,24.442,2.53,0.3,-14.3,10.42,0.724,0
16706,3.58293,17.7106,2.54,67.34,-41.49,9.85,0.7,0
28456,6.00787,10.218,2.54,-1.56,-7.32,9.18,0.24,0
20209,4.33103,23.7579,2.56,9.59,-13.09,8.9,0.573,0
24103,5.17776,17.4402,2.56,-0.52,-6.52,7.9,0.044,0
25392,5.43177,15.4539,2.56,1.02,-4.71,7.53,0.011,0
19985,4.2865,5.02457,2.57,-11.34,-16.48,6.91,0.647,0
23094,4.96984,15.7986,2.57,-5.81,-6.53,8.46,0.503,0
25306,5.41334,24.1063,2.57,6.91,-32.64,8.99,1.592,0
27338,5.79061,17.7291,2.57,-2.05,-4.79,5.47,0.301,0
19701,4.22031,6.60049,2.58,28.45,-39.53,9.09,1.282,0
28129,5.94562,16.0172,2.58,0.5,-6.18,9.24,0.04,0
22549,4.85343,5.6051,2.59,-3.62,1.03,3.68,-0.157,0
28519,6.01959,19.4204,2.59,-4.07,-12.32,7.45,0.096,0
21871,4.70247,8.85295,2.6,-3.05,1.08,8.44,0.028,0
21875,4.70292,19.8052,2.6,-3.94,-2.42,10.77,0.584,0
25908,5.52951,19.5512,2.6,-11.07,-2.85,8.72,0.235,0
20660,4.4269,5.64534,2.61,-1.41,3.3,7.03,1.252,0
24132,5.18306,14.9218,2.61,-10.78,-7.85,7.93,0.09,0
25867,5.52232,19.0236,2.61,2.98,-15.71,8.86,1.066,0
